FIPS,population,cases,new_cases_last_week,new_cases_2_week_ago,deaths
5077,8857,1563,34,75,30
5079,13024,2963,53,61,30
5081,12259,958,45,66,39
5083,21466,1798,86,179,13
5085,73309,5330,359,577,97
5087,16576,1228,65,105,16
5089,16694,796,46,80,27
5091,43257,3147,124,179,27
5093,40651,4913,142,251,101
5095,6701,619,50,71,13
5097,8986,621,24,47,22
5099,8252,652,22,29,22
5101,7753,611,15,32,26
5103,23382,1762,140,164,41
5105,10455,619,58,99,6
5107,17782,1492,70,82,30
5109,10718,841,50,77,15
5111,23528,2762,110,168,70
5113,19964,1552,100,169,51
5115,64072,6664,350,591,74
5117,8062,679,63,59,17
5119,391911,30714,1926,2895,457
5121,17958,1737,91,157,44
5123,24994,3177,149,171,28
5125,122437,9520,607,902,131
5127,10281,788,45,103,14
5129,7881,576,25,40,14
5131,127827,12431,698,1224,190
5133,17007,2268,64,85,23
5135,17442,1383,55,142,39
5137,12506,873,30,48,27
5139,38682,3006,194,306,85
5141,16545,990,93,90,10
5143,239187,25900,1269,2252,254
5145,78753,5970,321,799,77
5147,6320,499,46,81,5
5149,21341,2863,126,256,56
6001,1671329,67938,5989,6027,764
6003,1129,71,1,5,0
6005,39752,3016,149,440,29
6007,219186,9474,717,955,121
6009,45905,1617,157,190,23
6011,21547,1608,114,121,9
6013,1153526,52323,4595,4570,450
6015,27812,840,30,52,2
6017,192843,7707,720,829,44
6019,999101,82485,5904,6697,932
6021,28393,1935,172,173,19
6023,135558,2343,274,305,24
6025,181215,25317,899,1162,463
6027,18039,872,109,58,29
6029,900202,79930,5441,5865,565
6031,152940,19267,1358,1127,143
6033,64386,2591,386,230,30
6035,30573,4749,102,270,13
6037,10039107,1002614,88180,103084,13936
6039,157327,13443,1077,1236,130
6041,258826,11607,793,668,154
6043,17203,320,24,46,4
6045,86749,2919,191,287,32
6047,277680,23927,2043,1806,296
6049,8841,281,10,34,3
6051,14444,1101,95,48,4
6053,434061,35549,2691,3516,250
6055,137744,7601,779,688,39
6057,99755,3199,219,249,73
6059,3175692,213866,17526,22780,2367
6061,398329,17263,1344,1489,173
6063,18807,506,29,37,5
6065,2470546,244151,21244,26410,2517
6067,1552058,80546,4537,6355,1080
6069,62808,4963,481,532,43
6071,2180085,252808,17265,23603,1560
6073,3338330,214335,19542,25317,2103
6075,881549,29321,2057,2263,262
6077,762148,57405,4403,4797,748
6079,283111,15742,1529,1767,135
6081,766573,32515,3160,3019,294
6083,446499,24638,2898,2484,231
6085,1927852,93688,8837,9937,1076
6087,273213,12298,1205,1443,113
6089,180080,9600,623,657,117
6091,3005,40,7,7,0
6093,43539,1144,57,70,13
6095,447643,25344,2451,2689,105
6097,494336,24068,1877,1580,234
6099,550660,42413,3264,2890,749
6101,96971,7680,476,516,77
6103,65084,3854,330,321,42
6105,12285,260,4,6,4
6107,466195,41196,2816,3575,501
6109,54478,3318,153,219,39
6111,846006,61859,7657,9305,412
6113,220500,10620,921,949,131
6115,78668,4671,322,374,27
8001,517421,44144,1116,2400,559
8003,16233,1081,63,57,27
8005,656590,42934,1477,2432,603
8007,14029,569,20,39,0
8009,3581,247,35,12,2
8011,5577,1269,32,123,18
8013,326196,16393,546,884,193
8014,70465,3198,131,185,68
8015,20356,1231,45,110,23
8017,1831,111,6,7,5
8019,9700,335,16,33,2
8021,8205,375,25,17,3
8023,3887,175,4,4,2
8025,6061,1744,58,28,14
8027,5068,156,1,4,1
8029,31162,2130,170,193,41
8031,727211,53625,1657,3042,717
8033,2055,55,0,4,0
8035,351154,17941,723,1009,217
8037,55127,4022,302,288,17
8039,26729,1094,22,68,12
8041,720403,45973,1452,2466,670
8043,47839,4999,80,230,34
8045,60061,4534,187,315,36
8047,6243,140,6,10,2
8049,15734,805,42,71,5
8051,17462,933,135,50,6
8053,820,16,1,2,0
8055,6897,287,4,9,18
8057,1392,44,0,8,0
8059,582881,33123,1173,1731,660
8061,1406,84,5,1,2
8063,7097,477,18,15,10
8065,8127,479,14,40,0
8067,56221,2602,120,149,30
8069,356899,17040,662,882,175
8071,14506,876,49,192,10
8073,5701,835,36,10,3
8075,22409,3500,105,108,56
8077,154210,11083,740,714,157
8079,769,53,2,4,1
8081,13283,591,19,16,21
8083,26183,1530,111,97,19
8085,42758,2752,270,220,41
8087,29068,2308,50,85,86
8089,18278,1758,27,91,57
8091,4952,179,11,0,3
8093,18845,460,20,29,5
8095,4265,312,9,20,10
8097,17767,1698,208,191,4
8099,12172,1086,26,44,20
8101,168424,14046,184,578,342
8103,6324,336,37,15,3
8105,11267,556,53,46,10
8107,25638,1365,156,71,19
8109,6824,286,13,8,4
8111,728,34,0,1,0
8113,8179,480,45,13,0
8115,2248,178,13,20,2
8117,31011,2426,114,97,6
8119,25388,1118,51,55,12
8121,4908,360,6,5,11
8123,324492,22632,791,1368,300
8125,10019,620,23,24,14
9001,943332,67617,3551,4312,1853
9003,891720,58705,3805,4477,2017
9005,180333,9191,560,638,244
9007,162436,8497,622,775,298
9009,854757,58627,3870,4325,1706
9011,265206,15086,1594,1517,325
9013,150721,6255,464,515,125
9015,116782,7402,670,855,109
10001,180786,11548,868,1007,187
10003,558753,40753,2720,3008,514
10005,234225,18844,1265,1516,320
11001,705749,34259,1836,1947,861
12001,269043,18986,1108,1230,156
12003,29210,2853,137,166,41
12005,174705,14254,816,1114,255
12007,28201,2515,108,139,29
12009,601942,26488,1894,2147,591
12011,1952778,160514,7869,10008,1990
12013,14105,1445,46,133,33
12015,188910,9059,460,837,271
12017,149657,7981,393,630,316
12019,219252,14190,850,1325,221
12021,384902,25979,1165,1370,381
12023,71686,6886,263,432,132
12027,38001,3232,99,169,67
12029,16826,1322,72,81,12
